iter	Passed	Remaining
0	181	181741
1	194	97212
2	206	68487
3	217	54194
4	228	45456
5	236	39213
6	246	35000
7	255	31724
8	264	29073
9	272	26986
10	280	25249
11	289	23808
12	296	22483
13	303	21362
14	310	20408
15	317	19520
16	324	18762
17	331	18064
18	339	17536
19	346	16977
20	355	16554
21	361	16087
22	369	15692
23	376	15299
24	383	14944
25	390	14620
26	396	14295
27	404	14053
28	411	13775
29	418	13531
30	425	13297
31	432	13070
32	438	12858
33	445	12645
34	452	12475
35	459	12291
36	466	12131
37	473	11980
38	480	11839
39	487	11699
40	494	11566
41	502	11450
42	509	11340
43	516	11226
44	524	11126
45	531	11023
46	538	10927
47	545	10825
48	552	10726
49	560	10644
50	567	10554
51	573	10464
52	580	10373
53	587	10298
54	594	10221
55	601	10143
56	609	10088
57	616	10005
58	624	9953
59	630	9883
60	637	9818
61	645	9763
62	652	9699
63	659	9645
64	666	9582
65	674	9542
66	681	9494
67	690	9463
68	698	9419
69	705	9370
70	711	9314
71	718	9260
72	725	9217
73	732	9167
74	739	9124
75	746	9079
76	754	9041
77	762	9011
78	769	8966
79	776	8925
80	783	8887
81	790	8845
82	796	8799
83	803	8761
84	809	8714
85	816	8678
86	822	8636
87	829	8599
88	836	8567
89	843	8525
90	849	8489
91	856	8453
92	862	8414
93	869	8382
94	875	8344
95	882	8308
96	888	8272
97	894	8237
98	901	8207
99	908	8172
100	914	8143
101	921	8110
102	927	8079
103	934	8052
104	941	8024
105	948	7999
106	955	7973
107	962	7949
108	969	7922
109	975	7894
110	982	7869
111	989	7842
112	995	7815
113	1001	7783
114	1007	7755
115	1014	7731
116	1020	7702
117	1026	7676
118	1033	7649
119	1039	7622
120	1046	7604
121	1054	7586
122	1062	7572
123	1068	7551
124	1076	7532
125	1083	7515
126	1090	7494
127	1097	7476
128	1104	7454
129	1111	7437
130	1117	7413
131	1124	7392
132	1130	7370
133	1136	7346
134	1143	7323
135	1149	7302
136	1155	7280
137	1162	7260
138	1168	7240
139	1175	7219
140	1181	7200
141	1188	7178
142	1194	7159
143	1201	7140
144	1207	7117
145	1213	7100
146	1219	7078
147	1226	7059
148	1232	7038
149	1238	7019
150	1245	7003
151	1251	6983
152	1258	6965
153	1264	6945
154	1270	6925
155	1276	6908
156	1283	6891
157	1290	6875
158	1296	6857
159	1302	6839
160	1309	6824
161	1316	6810
162	1322	6792
163	1329	6775
164	1335	6760
165	1342	6744
166	1348	6726
167	1355	6713
168	1362	6698
169	1368	6683
170	1375	6667
171	1381	6650
172	1388	6638
173	1395	6624
174	1401	6607
175	1408	6594
176	1415	6581
177	1422	6567
178	1429	6554
179	1435	6538
180	1442	6528
181	1449	6514
182	1456	6500
183	1462	6486
184	1468	6470
185	1475	6457
186	1483	6451
187	1491	6442
188	1498	6429
189	1505	6417
190	1512	6405
191	1519	6393
192	1526	6382
193	1532	6368
194	1540	6359
195	1546	6345
196	1553	6332
197	1559	6318
198	1566	6303
199	1573	6293
200	1579	6279
201	1586	6268
202	1593	6256
203	1599	6242
204	1607	6232
205	1613	6219
206	1621	6209
207	1627	6196
208	1633	6183
209	1640	6172
210	1647	6162
211	1655	6152
212	1661	6139
213	1667	6124
214	1673	6110
215	1679	6095
216	1685	6083
217	1691	6069
218	1698	6055
219	1704	6043
220	1711	6031
221	1717	6018
222	1723	6005
223	1729	5990
224	1735	5978
225	1741	5965
226	1748	5952
227	1754	5939
228	1760	5926
229	1766	5914
230	1773	5902
231	1779	5889
232	1785	5876
233	1791	5864
234	1797	5852
235	1803	5839
236	1810	5827
237	1816	5815
238	1822	5803
239	1828	5791
240	1835	5779
241	1841	5767
242	1847	5755
243	1853	5743
244	1859	5730
245	1865	5719
246	1872	5707
247	1877	5694
248	1884	5683
249	1890	5672
250	1897	5662
251	1904	5651
252	1910	5640
253	1916	5629
254	1922	5616
255	1929	5607
256	1935	5596
257	1942	5585
258	1948	5575
259	1954	5563
260	1961	5552
261	1967	5540
262	1973	5529
263	1979	5517
264	1985	5505
265	1991	5495
266	1997	5484
267	2003	5473
268	2009	5461
269	2016	5451
270	2022	5441
271	2028	5429
272	2034	5418
273	2040	5406
274	2046	5396
275	2053	5385
276	2059	5374
277	2065	5364
278	2071	5353
279	2078	5343
280	2084	5334
281	2091	5324
282	2098	5315
283	2104	5305
284	2111	5297
285	2117	5286
286	2123	5275
287	2129	5265
288	2135	5253
289	2141	5243
290	2147	5233
291	2153	5222
292	2159	5211
293	2165	5200
294	2172	5190
295	2178	5180
296	2184	5170
297	2190	5159
298	2196	5148
299	2202	5139
300	2209	5129
301	2215	5120
302	2221	5110
303	2228	5101
304	2234	5091
305	2240	5081
306	2246	5071
307	2252	5061
308	2259	5051
309	2265	5042
310	2271	5033
311	2278	5024
312	2284	5013
313	2290	5003
314	2296	4994
315	2302	4984
316	2308	4974
317	2314	4963
318	2320	4953
319	2326	4944
320	2333	4935
321	2339	4926
322	2345	4916
323	2351	4906
324	2358	4897
325	2364	4887
326	2371	4880
327	2377	4870
328	2383	4860
329	2389	4851
330	2395	4842
331	2402	4833
332	2408	4824
333	2414	4814
334	2420	4805
335	2427	4796
336	2433	4786
337	2439	4777
338	2445	4767
339	2451	4758
